country,received,donated
Australia,2572618261.0,2446616312.0
Austria,770267419.0,784068952.0
Belgium,184346233.0,2144445270.0
Brazil,36607258078.0,1134440.0
Canada,4068652966.0,7466338200.0
Chile,7334129130.0,564349.0
Colombia,25530536307.0,190795.0
Cyprus,968154947.0,5599.0
Czech Republic,2141913341.0,8930435.0
Denmark,166310586.0,2952416405.0
Estonia,251349503.0,278942.0
Finland,180695493.0,665953415.0
France,237540854.0,15456459635.0
Germany,60164.0,47218438821.0
Greece,519377906.0,32667185.0
Hungary,2925327491.0,324552.0
Iceland,18060045.0,172501.0
India,133980469969.0,0.0
Ireland,934638729.0,295144458.0
Italy,2400826417.0,3835655974.0
Japan,2081102258.0,114182254172.0
Korea,25294323453.0,1299047720.0
Kuwait,7771540076.0,1369078319.0
Latvia,423495040.0,0.0
Liechtenstein,18393083.0,4370700.0
Lithuania,514143270.0,0.0
Luxembourg,555039832.0,111554022.0
New Zealand,225588310.0,56749885.0
Norway,368001981.0,4416814418.0
Poland,24517225188.0,403184.0
Portugal,175242606.0,68900866.0
Qatar,733783749.0,104519053.0
Romania,3329059861.0,0.0
Saudi Arabia,4877749103.0,1698410689.0
Slovak Republic,821195623.0,395574.0
Slovenia,225435200.0,150028.0
South Africa,18655555070.0,0.0
Spain,561711808.0,2014695904.0
Sweden,59757155.0,6364045876.0
Switzerland,326783.0,2844087953.0
Taiwan,3399554410.0,83737498.0
Thailand,49041317440.0,25461.0
United Arab Emirates,300206472.0,67636986.0
United Kingdom,957343964.0,23690539376.0
United States,104524992.0,116176338066.0
Monaco,0.0,941387.0
Netherlands,0.0,8939647189.0
