country,received,donated,latitude,longitude
Australia,2572618261.0,2446616312.0,-25.274398,133.775136
Austria,770267419.0,784068952.0,47.516231,14.550072
Belgium,184346233.0,2144445270.0,50.503887,4.469936
Brazil,36607258078.0,1134440.0,-14.235004,-51.92528
Canada,4068652966.0,7466338200.0,56.130366,-106.346771
Chile,7334129130.0,564349.0,-35.675147,-71.542969
Colombia,25530536307.0,190795.0,4.570868,-74.297333
Cyprus,968154947.0,5599.0,35.126413,33.429859
Czech Republic,2141913341.0,8930435.0,49.817492,15.472962
Denmark,166310586.0,2952416405.0,56.26392,9.501785
Estonia,251349503.0,278942.0,58.595272,25.013607
Finland,180695493.0,665953415.0,61.92411,25.748151
France,237540854.0,15456459635.0,46.227638,2.213749
Germany,60164.0,47218438821.0,51.165691,10.451526
Greece,519377906.0,32667185.0,39.074208,21.824312
Hungary,2925327491.0,324552.0,47.162494,19.503304
Iceland,18060045.0,172501.0,64.963051,-19.020835
India,133980469969.0,0.0,20.593684,78.96288
Ireland,934638729.0,295144458.0,53.41291,-8.24389
Italy,2400826417.0,3835655974.0,41.87194,12.56738
Japan,2081102258.0,114182254172.0,36.204824,138.252924
Korea,25294323453.0,1299047720.0,35.907757,127.766922
Kuwait,7771540076.0,1369078319.0,29.31166,47.481766
Latvia,423495040.0,0.0,56.879635,24.603189
Liechtenstein,18393083.0,4370700.0,47.166,9.555373
Lithuania,514143270.0,0.0,55.169438,23.881275
Luxembourg,555039832.0,111554022.0,49.815273,6.129583
New Zealand,225588310.0,56749885.0,-40.900557,174.885971
Norway,368001981.0,4416814418.0,60.472024,8.468946
Poland,24517225188.0,403184.0,51.919438,19.145136
Portugal,175242606.0,68900866.0,39.399872,-8.224454
Qatar,733783749.0,104519053.0,25.354826,51.183884
Romania,3329059861.0,0.0,45.943161,24.96676
Saudi Arabia,4877749103.0,1698410689.0,23.885942,45.079162
Slovak Republic,821195623.0,395574.0,48.669026,19.699024
Slovenia,225435200.0,150028.0,46.151241,14.995463
South Africa,18655555070.0,0.0,-30.559482,22.937506
Spain,561711808.0,2014695904.0,40.463667,-3.74922
Sweden,59757155.0,6364045876.0,60.128161,18.643501
Switzerland,326783.0,2844087953.0,46.818188,8.227512
Taiwan,3399554410.0,83737498.0,23.69781,120.960515
Thailand,49041317440.0,25461.0,15.870032,100.992541
United Arab Emirates,300206472.0,67636986.0,23.424076,53.847818
United Kingdom,957343964.0,23690539376.0,55.378051,-3.435973
United States,104524992.0,116176338066.0,37.09024,-95.712891
Monaco,0.0,941387.0,43.750298,7.412841
Netherlands,0.0,8939647189.0,52.132633,5.291266
