,country,Sectors not specified,Social/ welfare services,Strengthening civil society,Higher education,Multisector aid,latitude,longitude
0,Austria,2,0,0,0,0,47.516231,14.550072
1,Brazil,1676,1066,932,844,484,-14.235004,-51.92528
2,Chile,776,437,233,522,234,-35.675147,-71.542969
3,Colombia,977,848,1551,607,368,4.570868,-74.297333
4,Cyprus,7,42,3,24,10,35.126413,33.429859
5,Czech Republic,16,125,19,53,29,49.817492,15.472962
6,Estonia,9,75,25,28,16,58.595272,25.013607
7,Finland,0,1,0,0,0,61.92411,25.748151
8,Germany,0,2,0,0,0,51.165691,10.451526
9,Hungary,18,104,20,53,38,47.162494,19.503304
10,India,1684,1025,1167,776,810,20.593684,78.96288
11,Korea,14,85,4,55,14,35.907757,127.766922
12,Kuwait,2,35,0,11,4,29.31166,47.481766
13,Latvia,14,76,29,30,20,56.879635,24.603189
14,Liechtenstein,0,1,0,0,0,47.166,9.555373
15,Lithuania,15,87,26,24,25,55.169438,23.881275
16,Poland,25,146,23,62,64,51.919438,19.145136
17,Qatar,1,34,0,11,2,25.354826,51.183884
18,Romania,68,210,63,61,88,45.943161,24.96676
19,Saudi Arabia,110,64,7,67,15,23.885942,45.079162
20,Slovak Republic,22,88,29,46,25,48.669026,19.699024
21,Slovenia,11,62,10,87,10,46.151241,14.995463
22,South Africa,1111,1100,1169,603,504,-30.559482,22.937506
23,Taiwan,7,57,0,17,6,23.69781,120.960515
24,Thailand,1510,405,288,595,256,15.870032,100.992541
25,United Arab Emirates,1,50,2,13,4,23.424076,53.847818
26,United States,0,3,0,4,0,37.09024,-95.712891
